time,Control,High_level,Expectation,Activity,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y,/kinect_features/.ci,/kinect_features/.distance,/kinect_features/.proximity
0.0,Very High,Dodging,Very High,Very High,1211.0,776.0,2250.0,-7.0,-1.0,17.0,0.6424019932746887,0.537941575050354,0.8804574012756348
0.0,Very High,Dodging,Very High,Very High,1211.0,776.0,2250.0,-7.0,-1.0,17.0,0.6424019932746887,0.537941575050354,0.8804574012756348
0.0190887451171875,Very High,Dodging,Very High,Very High,881.0,985.0,2201.0,-7.0,-4.0,20.0,,,
0.03910946846008301,Very High,Dodging,Very High,Very High,604.0,1168.0,1918.0,-7.0,-3.0,20.0,,,
0.05385994911193848,Very High,Dodging,Very High,Very High,,,,,,,0.6424019932746887,0.0,1.0
0.0595707893371582,Very High,Dodging,Very High,Very High,515.0,1242.0,1080.0,-1.0,4.0,-1.0,,,
0.08150863647460938,Very High,Dodging,Very High,Very High,659.0,956.0,615.0,3.0,8.0,-11.0,,,
0.10198712348937988,Very High,Dodging,Very High,Very High,1038.0,-156.0,-437.0,7.0,19.0,-19.0,,,
0.11461806297302246,Very High,Dodging,Very High,Very High,,,,,,,0.6424019932746887,0.0,1.0
0.12069892883300781,Very High,Dodging,Very High,Very High,1273.0,-658.0,-893.0,6.0,25.0,-24.0,,,
0.14194655418395996,Very High,Dodging,Very High,Very High,1667.0,-707.0,-833.0,4.0,26.0,-30.0,,,
0.1625819206237793,Very High,Dodging,Very High,Very High,1926.0,-95.0,924.0,2.0,13.0,-14.0,,,
0.18304181098937988,Very High,Dodging,Very High,Very High,1600.0,341.0,1985.0,3.0,13.0,-1.0,,,
0.1850907802581787,Very High,Dodging,Very High,Very High,,,,,,,0.6424019932746887,0.0,1.0
0.2030622959136963,Very High,Dodging,Very High,Very High,1323.0,759.0,2734.0,5.0,13.0,7.0,,,
0.22350168228149414,Very High,Dodging,Very High,Very High,1645.0,820.0,2615.0,3.0,-6.0,3.0,,,
0.24462008476257324,Very High,Dodging,Very High,Very High,2093.0,523.0,1985.0,2.0,-14.0,-1.0,,,
0.26517772674560547,Very High,Dodging,Very High,Very High,,,,,,,0.3893171548843384,0.5611732006072998,0.8752948641777039
0.2655658721923828,Very High,Dodging,Very High,Very High,2425.0,197.0,1381.0,-1.0,-15.0,2.0,,,
0.2849266529083252,Very High,Dodging,Very High,Very High,2161.0,76.0,744.0,-1.0,-8.0,16.0,,,
0.305405855178833,Very High,Dodging,Very High,Very High,1613.0,318.0,799.0,2.0,-8.0,22.0,,,
0.32572507858276367,Very High,Dodging,Very High,Very High,1243.0,325.0,1010.0,5.0,-12.0,25.0,,,
0.3304443359375,Very High,Dodging,Very High,Very High,,,,,,,0.4982914328575134,0.5504307150840759,0.877682089805603
0.34640049934387207,Very High,Dodging,Very High,Very High,1790.0,-739.0,1613.0,-2.0,-18.0,13.0,,,
0.3669881820678711,Very High,Dodging,Very High,Very High,2138.0,-1682.0,1603.0,-12.0,-24.0,12.0,,,
0.3870584964752197,Very High,Dodging,Very High,Very High,2313.0,-2779.0,693.0,-25.0,-41.0,-2.0,,,
0.3882625102996826,Very High,Dodging,Very High,Very High,,,,,,,0.25,0.14340423047542572,0.9681323766708374
0.4075281620025635,Very High,Dodging,Very High,Very High,2103.0,-2683.0,-99.0,-33.0,-41.0,-11.0,,,
0.4290499687194824,Very High,Dodging,Very High,Very High,1701.0,-2239.0,-1024.0,-37.0,-37.0,-21.0,,,
0.4484443664550781,Very High,Dodging,Very High,Very High,-380.0,-262.0,-3100.0,-22.0,10.0,-48.0,,,
0.45108842849731445,Very High,Dodging,Very High,Very High,,,,,,,0.25,0.0,1.0
0.46959495544433594,Very High,Dodging,Very High,Very High,-1218.0,1857.0,-3086.0,-8.0,57.0,-60.0,,,
0.48973798751831055,Very High,Dodging,Very High,Very High,-2683.0,4635.0,-1988.0,7.0,93.0,-30.0,,,
0.5108602046966553,Very High,Dodging,Very High,Very High,-1164.0,7551.0,3998.0,27.0,59.0,-28.0,,,
0.5209064483642578,Very High,Dodging,Very High,Very High,,,,,,,0.829230785369873,0.3211914002895355,0.928624153137207
0.5316519737243652,Very High,Dodging,Very High,Very High,204.0,6952.0,6129.0,25.0,23.0,-31.0,,,
0.5514483451843262,Very High,Dodging,Very High,Very High,1079.0,5516.0,7441.0,25.0,25.0,2.0,,,
0.5715725421905518,Very High,Dodging,Very High,Very High,1944.0,3908.0,8454.0,7.0,12.0,79.0,,,
0.5917127132415771,Very High,Dodging,Very High,Very High,1692.0,4145.0,7111.0,1.0,2.0,92.0,,,
0.5930380821228027,Very High,Dodging,Very High,Very High,,,,,,,0.5877224802970886,0.5162099003791809,0.8852866888046265
0.6124827861785889,Very High,Dodging,Very High,Very High,1325.0,4017.0,2937.0,5.0,22.0,79.0,,,
0.6333315372467041,Very High,Dodging,Very High,Very High,861.0,3125.0,1581.0,2.0,32.0,78.0,,,
0.6512694358825684,Very High,Dodging,Very High,Very High,,,,,,,0.0,0.0,0.0
0.6532940864562988,Very High,Dodging,Very High,Very High,549.0,2596.0,814.0,-2.0,39.0,74.0,,,
0.67447829246521,Very High,Dodging,Very High,Very High,80.0,3473.0,733.0,-5.0,29.0,56.0,,,
