control
Very high
High
Very high
Very high
Very high
Very high
Very high
High
Very high
Very high
Medium
High
High
Very high
Very high
Very high
Very high
Very high
Very high
High
Very high
Very high
Very high
Very high

High
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Medium
High
Very high
Very high
Very high
Very high
High
High
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high

Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Medium
Low

High
Very high
Very high
Very high
High
High
Very high
Very high
Very high
Medium
Medium
High
Very high
Very high
Medium
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high

Very high
Very high
High
Medium
Medium
High
High
High
Medium
Medium
High
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Very high
Medium
Medium
High
Very high
Very high
Very high
Very high
Very high

High
Very High
Medium
Medium
Low
Low
Low
Very Low
Low
Low
Medium
Low
Very Low
Very Low
High
Very High
Very High
Very High
Very High
Medium
Medium
Low
Low
High
Very High
Very High
Very High
Medium
Medium
Medium
Medium

Very Low
Very Low
Very Low
Very Low
Very Low
Very Low
Very Low
Very Low
Medium
High
Very High
Very High
Very High
High
High
Medium
High
High
High
Medium
Medium
High
Very High
Medium
Low
Very High
Low
Medium
Medium
Medium
Medium
High
High
Medium
Very Low
Very Low
Medium
Low
Very Low
Very Low
Very Low
Medium
Medium
High
High
Low
Very Low
Very Low

Very High
Very High
High
Very High
Very High
Very High
Very High
Very High
Very High
High
High
Very High
Very High
Very High
Very High
Very High
Low
Very Low

Very High
High
High
High
High
Very High
High
Low
Low
High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Low

Very High
High
Very High
High
High
High
Very High
Very High
High
Very High
High
Very High
Very High
Medium
Medium
High
High
Medium
Medium
Medium
Medium
High
Low
Very Low
Very Low
Very Low
Low
Low
Medium
Medium

Very high
Medium
Medium
High
High
High
High
High
High
Very high
Very high
Very high
Very high
Very high
Very high
Low

Very high
Very high
Low
Low
Medium
High
High
High
Very high
Very high
High
Very high
Very high
Very high
Medium
High
High
Medium
Medium
High
Medium
Medium
High
Medium
Medium
Medium

High
High
Medium
Medium
High
Medium
Medium
Medium
High
Very high
High
Medium
Medium
Medium
Low
Medium
Very high
Very high
High
Medium
Medium
Medium
Medium
Medium
Low
Medium
High
High
High
Very high
Medium
Low

Low
Low
Very high
Very high
Very high
Very high
Very high
High
High
Very high
Very high
Very high
Very high
Medium
Medium
High
Medium
Low
Low
Low
High
Low
Medium
High
High
High
High
Medium
Medium

Very High
Very High
Very High
Very High
Very High
Very High
Medium
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
High
High
High
High
High
Low
High
Very High
Very High
Very High
Very High
Very High
Very High
Very High
Very High

Medium
High
High
Very High
Very High
Very High
Very High
Very High
