accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,control
-1227.88,2.23,609.64,2.23,0.31,1.2,0.31,1.2,-4.16,-1227.88,-1.35,609.64,-1227.88,1893.78,1.2,2.23,1893.78,1.2,2.23,2.23,0.73,2.23,-1227.88,-1227.88,-4.16,-4.16,0.73,1893.78,-4.16,609.64,1.2,1.2,0.31,0.31,0.73,0.73,1893.78,1893.78,2.23,-1.35,0.73,0.73,0.31,1893.78,609.64,1893.78,-4.16,-4.16,609.64,-1227.88,0.31,2.23,609.64,-1.35,0.31,-4.16,-1.35,2.23,-1.35,609.64,609.64,-4.16,-1.35,0.31,1.2,1893.78,-4.16,2.23,1.2,0.73,1.2,0.73,1.2,1893.78,-1227.88,0.31,1893.78,-1227.88,-1.35,0.31,609.64,-1227.88,-1.35,0.73,609.64,-1.35,0.73,-4.16,-1227.88,-1.35,Medium
-581.29,2.06,476.18,2.06,0.32,1.42,0.32,1.42,-6.01,-581.29,-5.67,476.18,-581.29,1988.1,1.42,2.06,1988.1,1.42,2.06,2.06,0.68,2.06,-581.29,-581.29,-6.01,-6.01,0.68,1988.1,-6.01,476.18,1.42,1.42,0.32,0.32,0.68,0.68,1988.1,1988.1,2.06,-5.67,0.68,0.68,0.32,1988.1,476.18,1988.1,-6.01,-6.01,476.18,-581.29,0.32,2.06,476.18,-5.67,0.32,-6.01,-5.67,2.06,-5.67,476.18,476.18,-6.01,-5.67,0.32,1.42,1988.1,-6.01,2.06,1.42,0.68,1.42,0.68,1.42,1988.1,-581.29,0.32,1988.1,-581.29,-5.67,0.32,476.18,-581.29,-5.67,0.68,476.18,-5.67,0.68,-6.01,-581.29,-5.67,High
-834.18,4.56,546.58,4.56,0.37,1.46,0.37,1.46,-2.83,-834.18,3.22,546.58,-834.18,1858.92,1.46,4.56,1858.92,1.46,4.56,4.56,0.68,4.56,-834.18,-834.18,-2.83,-2.83,0.68,1858.92,-2.83,546.58,1.46,1.46,0.37,0.37,0.68,0.68,1858.92,1858.92,4.56,3.22,0.68,0.68,0.37,1858.92,546.58,1858.92,-2.83,-2.83,546.58,-834.18,0.37,4.56,546.58,3.22,0.37,-2.83,3.22,4.56,3.22,546.58,546.58,-2.83,3.22,0.37,1.46,1858.92,-2.83,4.56,1.46,0.68,1.46,0.68,1.46,1858.92,-834.18,0.37,1858.92,-834.18,3.22,0.37,546.58,-834.18,3.22,0.68,546.58,3.22,0.68,-2.83,-834.18,3.22,High
-1850.2,9.54,364.56,9.54,0.38,1.36,0.38,1.36,2.2,-1850.2,17.93,364.56,-1850.2,1427.35,1.36,9.54,1427.35,1.36,9.54,9.54,0.7,9.54,-1850.2,-1850.2,2.2,2.2,0.7,1427.35,2.2,364.56,1.36,1.36,0.38,0.38,0.7,0.7,1427.35,1427.35,9.54,17.93,0.7,0.7,0.38,1427.35,364.56,1427.35,2.2,2.2,364.56,-1850.2,0.38,9.54,364.56,17.93,0.38,2.2,17.93,9.54,17.93,364.56,364.56,2.2,17.93,0.38,1.36,1427.35,2.2,9.54,1.36,0.7,1.36,0.7,1.36,1427.35,-1850.2,0.38,1427.35,-1850.2,17.93,0.38,364.56,-1850.2,17.93,0.7,364.56,17.93,0.7,2.2,-1850.2,17.93,Very high
-1497.06,6.58,-6.98,6.58,0.4,0.94,0.4,0.94,-4.63,-1497.06,4.39,-6.98,-1497.06,1095.37,0.94,6.58,1095.37,0.94,6.58,6.58,0.79,6.58,-1497.06,-1497.06,-4.63,-4.63,0.79,1095.37,-4.63,-6.98,0.94,0.94,0.4,0.4,0.79,0.79,1095.37,1095.37,6.58,4.39,0.79,0.79,0.4,1095.37,-6.98,1095.37,-4.63,-4.63,-6.98,-1497.06,0.4,6.58,-6.98,4.39,0.4,-4.63,4.39,6.58,4.39,-6.98,-6.98,-4.63,4.39,0.4,0.94,1095.37,-4.63,6.58,0.94,0.79,0.94,0.79,0.94,1095.37,-1497.06,0.4,1095.37,-1497.06,4.39,0.4,-6.98,-1497.06,4.39,0.79,-6.98,4.39,0.79,-4.63,-1497.06,4.39,Very high
-813.51,0.16,-104.19,0.16,0.4,0.76,0.4,0.76,-0.94,-813.51,-2.38,-104.19,-813.51,1234.92,0.76,0.16,1234.92,0.76,0.16,0.16,0.83,0.16,-813.51,-813.51,-0.94,-0.94,0.83,1234.92,-0.94,-104.19,0.76,0.76,0.4,0.4,0.83,0.83,1234.92,1234.92,0.16,-2.38,0.83,0.83,0.4,1234.92,-104.19,1234.92,-0.94,-0.94,-104.19,-813.51,0.4,0.16,-104.19,-2.38,0.4,-0.94,-2.38,0.16,-2.38,-104.19,-104.19,-0.94,-2.38,0.4,0.76,1234.92,-0.94,0.16,0.76,0.83,0.76,0.83,0.76,1234.92,-813.51,0.4,1234.92,-813.51,-2.38,0.4,-104.19,-813.51,-2.38,0.83,-104.19,-2.38,0.83,-0.94,-813.51,-2.38,Very high
-759.27,-3.44,-85.99,-3.44,0.3,0.49,0.3,0.49,-3.49,-759.27,-4.16,-85.99,-759.27,1682.44,0.49,-3.44,1682.44,0.49,-3.44,-3.44,0.66,-3.44,-759.27,-759.27,-3.49,-3.49,0.66,1682.44,-3.49,-85.99,0.49,0.49,0.3,0.3,0.66,0.66,1682.44,1682.44,-3.44,-4.16,0.66,0.66,0.3,1682.44,-85.99,1682.44,-3.49,-3.49,-85.99,-759.27,0.3,-3.44,-85.99,-4.16,0.3,-3.49,-4.16,-3.44,-4.16,-85.99,-85.99,-3.49,-4.16,0.3,0.49,1682.44,-3.49,-3.44,0.49,0.66,0.49,0.66,0.49,1682.44,-759.27,0.3,1682.44,-759.27,-4.16,0.3,-85.99,-759.27,-4.16,0.66,-85.99,-4.16,0.66,-3.49,-759.27,-4.16,Very high
-484.64,-2.88,300.37,-2.88,0.31,0.23,0.31,0.23,-10.84,-484.64,-10.9,300.37,-484.64,1586.99,0.23,-2.88,1586.99,0.23,-2.88,-2.88,0.55,-2.88,-484.64,-484.64,-10.84,-10.84,0.55,1586.99,-10.84,300.37,0.23,0.23,0.31,0.31,0.55,0.55,1586.99,1586.99,-2.88,-10.9,0.55,0.55,0.31,1586.99,300.37,1586.99,-10.84,-10.84,300.37,-484.64,0.31,-2.88,300.37,-10.9,0.31,-10.84,-10.9,-2.88,-10.9,300.37,300.37,-10.84,-10.9,0.31,0.23,1586.99,-10.84,-2.88,0.23,0.55,0.23,0.55,0.23,1586.99,-484.64,0.31,1586.99,-484.64,-10.9,0.31,300.37,-484.64,-10.9,0.55,300.37,-10.9,0.55,-10.84,-484.64,-10.9,Very high
-422.67,3.18,393.84,3.18,0.37,0.58,0.37,0.58,-1.93,-422.67,3.2,393.84,-422.67,1468.97,0.58,3.18,1468.97,0.58,3.18,3.18,0.7,3.18,-422.67,-422.67,-1.93,-1.93,0.7,1468.97,-1.93,393.84,0.58,0.58,0.37,0.37,0.7,0.7,1468.97,1468.97,3.18,3.2,0.7,0.7,0.37,1468.97,393.84,1468.97,-1.93,-1.93,393.84,-422.67,0.37,3.18,393.84,3.2,0.37,-1.93,3.2,3.18,3.2,393.84,393.84,-1.93,3.2,0.37,0.58,1468.97,-1.93,3.18,0.58,0.7,0.58,0.7,0.58,1468.97,-422.67,0.37,1468.97,-422.67,3.2,0.37,393.84,-422.67,3.2,0.7,393.84,3.2,0.7,-1.93,-422.67,3.2,Very high
-1249.47,4.26,-67.14,4.26,0.39,0.79,0.39,0.79,-0.81,-1249.47,13.17,-67.14,-1249.47,1546.07,0.79,4.26,1546.07,0.79,4.26,4.26,0.82,4.26,-1249.47,-1249.47,-0.81,-0.81,0.82,1546.07,-0.81,-67.14,0.79,0.79,0.39,0.39,0.82,0.82,1546.07,1546.07,4.26,13.17,0.82,0.82,0.39,1546.07,-67.14,1546.07,-0.81,-0.81,-67.14,-1249.47,0.39,4.26,-67.14,13.17,0.39,-0.81,13.17,4.26,13.17,-67.14,-67.14,-0.81,13.17,0.39,0.79,1546.07,-0.81,4.26,0.79,0.82,0.79,0.82,0.79,1546.07,-1249.47,0.39,1546.07,-1249.47,13.17,0.39,-67.14,-1249.47,13.17,0.82,-67.14,13.17,0.82,-0.81,-1249.47,13.17,High
