accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,activity
203.0,2.01,609.64,12.0,0.07,0.5,0.03,1.2,0.01,-422.0,-0.01,-226.0,-2911.0,347.0,0.27,1.73,1465.19,0.66,6.0,39.0,0.61,-18.0,-1227.88,426.0,5.0,2.0,0.21,-361.0,2.88,-0.08,-0.98,0.21,0.37,0.27,0.17,0.11,2580.0,465.06,9.91,9.27,3.0,1.0,0.04,176.0,1.06,-2.07,-19.0,13.0,233.5,-949.99,0.31,4.0,301.73,-1.35,5.0,-3.22,1.88,2.23,2.0,114.0,1406.0,4.5,-1.05,-0.65,3.0,3.0,-4.16,0.93,0.33,0.07,1.73,0.15,0.0,5.96,3.0,0.02,1893.78,-1.82,10.0,0.62,4.0,485.34,-32.0,0.98,471.67,30.0,0.73,4.71,3.22,6.0,High
518.0,-0.19,476.18,18.0,0.07,0.23,0.05,1.42,-1.98,3726.0,-1.91,-3528.0,-4382.0,863.0,0.32,1.59,1538.16,0.35,8.0,39.0,0.61,-30.0,-581.29,1540.0,5.0,4.0,-1.12,-796.0,4.42,-2.36,-0.21,-1.14,0.43,0.26,0.15,0.05,5013.0,1173.44,14.47,27.83,5.0,0.77,0.05,390.0,6.97,-0.1,-64.0,20.0,456.0,-449.74,0.32,3.0,931.42,-5.67,13.0,-4.65,3.9,2.06,3.0,230.0,2132.0,8.0,-4.39,-0.08,5.0,4.0,-6.01,0.22,0.18,0.04,1.73,0.07,1.03,0.5,1.0,0.02,1988.1,0.38,22.0,0.96,6.0,1473.92,-118.0,0.2,368.41,31.0,0.68,16.08,0.72,12.0,Medium
1306.5,3.82,546.58,22.75,0.08,0.25,0.05,1.46,-1.55,3726.0,-1.19,-3528.0,-6566.0,1702.5,0.33,3.54,1443.63,0.42,11.5,90.0,0.6,-30.0,-834.18,2669.75,3.0,9.0,-1.2,-4122.0,2.66,-1.8,-0.37,-1.2,0.45,0.26,0.15,0.05,7150.0,1720.99,17.49,33.81,5.0,0.77,0.07,963.5,3.95,-0.31,-64.0,21.0,970.25,-647.82,0.37,9.0,1052.95,3.22,7.0,-2.2,2.24,4.56,4.0,506.5,2215.0,18.0,2.5,-0.67,5.0,10.0,-2.83,1.04,0.19,0.04,1.79,0.09,1.03,1.65,5.0,0.04,1858.92,-0.26,29.75,-0.35,7.0,2069.46,-118.0,0.34,424.47,75.0,0.68,18.38,0.06,15.0,High
880.0,2.46,364.56,19.0,0.09,0.33,0.06,1.36,0.2,3542.0,0.47,-6190.0,-8167.0,1922.5,0.31,7.34,1098.54,0.51,10.0,90.0,0.6,-33.0,-1850.2,1880.0,2.0,9.0,-0.63,-6807.0,-0.47,-0.27,-0.48,-0.68,0.55,0.3,0.16,0.07,7150.0,2397.22,18.0,31.33,3.0,0.87,0.07,978.0,3.88,-0.49,-20.0,33.0,1199.5,-1423.98,0.38,4.0,2103.8,17.93,6.0,1.7,-0.02,9.54,8.0,605.0,7622.0,16.0,13.8,1.04,3.0,7.0,2.2,0.88,0.27,0.05,1.79,0.11,0.61,1.32,6.0,0.03,1427.35,-0.43,40.0,1.15,6.0,2165.02,-44.0,0.5,280.58,95.0,0.7,11.56,0.79,19.0,Very High
1787.0,0.12,-6.98,37.0,0.09,0.21,0.1,0.94,-0.03,5221.0,-0.09,-6190.0,-9088.0,4983.5,0.21,5.09,847.47,0.37,19.0,95.0,0.7,-62.0,-1497.06,3621.5,1.0,12.0,-1.22,-8036.0,-0.14,0.0,0.28,-1.26,0.62,0.23,0.18,0.05,10572.0,3889.56,30.04,44.7,3.0,0.87,0.14,2547.0,0.21,-0.29,-55.0,37.0,3150.0,-1158.25,0.4,2.0,2738.95,4.39,3.0,-3.58,-0.24,6.58,2.0,1515.0,7622.0,23.0,3.39,-0.72,3.0,8.0,-4.63,0.09,0.12,0.03,1.34,0.08,0.61,-0.14,3.0,0.06,1095.37,-0.19,60.5,0.54,7.0,2971.89,-112.0,-0.29,-5.4,95.0,0.79,18.48,-0.09,30.0,Very High
1475.0,0.46,-104.19,34.75,0.09,0.08,0.09,0.76,-0.03,5221.0,-0.12,-5392.0,-9088.0,4422.0,0.17,0.12,953.96,0.08,17.0,95.0,0.8,-62.0,-813.51,2818.0,8.0,14.5,0.24,-8036.0,-0.4,-0.25,-0.69,0.17,0.62,0.23,0.19,0.02,10572.0,3661.07,30.03,39.15,4.0,0.87,0.1,2265.5,-0.31,-0.39,-55.0,42.0,2754.25,-628.42,0.4,3.0,2141.61,-2.38,6.0,-0.72,0.34,0.16,4.0,1416.0,4353.0,28.75,-1.84,0.27,3.0,6.0,-0.94,0.37,0.04,0.01,0.9,0.02,0.58,0.3,4.0,0.03,1234.92,-0.53,43.5,0.68,7.0,2776.25,-112.0,0.75,-80.49,90.0,0.83,20.91,0.33,20.5,Very High
1183.0,1.69,-85.99,21.0,0.07,0.32,0.18,0.49,-0.52,6043.0,0.89,-5065.0,-7532.0,2856.0,0.11,-2.66,1301.68,0.74,10.0,62.0,0.0,-51.0,-759.27,2261.5,1.0,7.0,-0.43,-6384.0,1.27,-0.51,-0.77,-1.22,0.74,0.0,0.15,0.37,10836.0,2825.38,17.21,28.11,3.0,1.0,0.11,1322.0,0.78,-0.14,-69.0,42.0,1780.5,-587.43,0.3,2.0,1631.79,-4.16,3.0,-2.7,1.24,-3.44,8.0,839.0,3373.0,14.5,-3.22,-0.14,3.0,6.0,-3.49,0.15,0.13,0.03,0.79,0.03,0.0,1.82,8.0,0.03,1682.44,-0.15,31.0,-0.59,8.0,2543.43,-62.0,-1.23,-66.53,81.0,0.66,20.4,0.83,16.0,Very High
1072.0,0.81,300.37,20.5,0.07,0.27,0.28,0.23,-1.21,6043.0,-0.08,-5065.0,-7532.0,2705.0,0.05,-2.23,1227.83,0.52,10.0,62.0,0.0,-53.0,-484.64,2192.0,3.0,9.0,-1.8,-6384.0,1.2,-0.77,0.42,-1.66,0.76,0.0,0.13,0.45,10836.0,2874.22,19.12,32.43,6.0,1.0,0.46,1420.0,1.7,-0.04,-69.0,13.0,1600.5,-374.96,0.31,13.0,1444.25,-10.9,6.0,-8.39,-0.0,-2.88,6.0,764.0,3373.0,21.5,-8.43,-1.43,7.0,8.0,-10.84,0.31,0.0,0.14,0.65,0.89,0.0,1.41,3.0,0.34,1586.99,-0.24,38.0,0.07,9.0,2588.16,-98.0,-0.4,232.39,62.0,0.55,16.81,0.59,18.0,Very High
941.0,0.08,393.84,22.0,0.08,0.5,0.22,0.58,0.85,6108.0,0.47,-2070.0,-4970.0,1549.0,0.13,2.48,1142.53,1.08,11.0,41.0,0.0,-53.0,-422.67,2120.5,2.0,11.0,0.66,-2799.0,1.35,-0.24,0.27,-1.32,0.76,0.0,0.16,0.33,6811.0,1774.73,19.5,43.58,5.0,1.0,0.17,810.0,-0.17,-0.05,-45.0,58.0,1184.0,-328.75,0.37,7.0,994.14,3.2,8.0,-1.5,0.68,3.18,2.0,627.0,2692.0,23.0,2.49,-0.5,3.0,9.0,-1.93,-0.44,0.51,0.09,1.4,0.19,0.0,0.33,5.0,0.08,1468.97,0.33,50.0,-0.13,2.0,1934.1,-98.0,-1.48,306.32,123.0,0.7,20.05,1.0,24.0,Very High
1365.0,6.7,-67.14,26.5,0.08,0.35,0.1,0.79,-0.09,6385.0,-0.4,-4039.0,-8693.0,1592.5,0.17,3.33,1208.9,0.56,11.0,140.0,0.69,-109.0,-1249.47,2727.5,4.0,10.0,-0.84,-7905.0,1.02,0.44,0.16,-0.89,0.56,0.21,0.18,0.08,8178.0,2900.01,28.53,53.95,6.0,1.0,0.16,773.0,0.54,-0.63,-68.0,58.0,2018.0,-976.98,0.39,7.0,1653.85,13.17,5.0,-0.63,0.96,4.26,2.0,1023.0,4885.0,23.0,10.3,-1.09,6.0,12.0,-0.81,-0.74,0.22,0.05,1.4,0.12,0.01,2.43,6.0,0.06,1546.07,0.38,52.0,0.22,2.0,2869.64,-187.0,-0.15,-52.49,125.0,0.82,23.16,0.83,28.0,Very High
