accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,activity
740.5,0.32,317.14,18.0,0.11,0.42,0.11,0.6,-0.12,1948.0,-1.13,-4017.0,-3556.0,1433.25,0.14,0.03,1092.06,0.91,9.0,36.0,0.75,-53.0,-173.35,1529.5,3.0,10.5,-1.38,-4801.0,-0.56,-1.01,-0.34,-1.39,0.57,0.16,0.21,0.09,5152.0,1784.57,18.46,27.73,4.0,1.0,0.16,660.5,0.97,-0.75,-31.0,36.0,1508.25,-131.13,0.44,3.0,1548.95,-0.33,4.0,-0.2,4.44,0.03,3.0,702.0,2930.0,20.75,-0.25,-0.03,4.0,9.0,-0.27,-0.64,0.35,0.08,1.13,0.2,0.0,2.56,6.0,0.07,1443.61,-0.17,29.75,-0.6,2.0,1099.02,-110.0,0.33,239.91,81.0,0.87,16.09,-0.0,15.5,Very High
834.0,-0.34,-1148.03,28.0,0.1,1.07,0.22,1.07,-0.25,1948.0,-1.1,-6360.0,-4506.0,1142.5,0.26,-3.81,997.74,0.54,15.5,28.0,0.0,-56.0,-127.64,1662.0,2.0,11.0,0.78,-4803.0,-0.13,-0.36,1.83,2.55,0.83,0.0,0.17,0.29,5266.0,1555.65,20.77,35.33,7.0,1.0,0.24,579.5,-0.65,-0.31,-49.0,30.0,3354.5,-96.06,0.42,2.0,2020.04,-17.83,7.0,-4.81,0.14,-5.07,2.0,1793.5,2369.0,21.0,-13.42,-0.31,8.0,12.0,-6.39,-0.42,0.3,0.06,4.3,0.11,0.0,2.91,2.0,0.12,1325.76,-0.59,35.5,0.27,1.0,1197.84,-110.0,-1.48,-863.98,25.0,0.7,16.82,0.73,16.5,Very High
757.0,0.35,-2111.39,21.0,0.11,1.03,0.21,1.14,-0.99,1833.0,-0.86,-6360.0,-4506.0,1094.5,0.28,-4.49,938.34,0.4,11.0,27.0,0.0,-56.0,-412.65,1619.5,1.0,7.0,0.96,-4803.0,0.3,-0.58,1.95,2.91,0.83,0.0,0.17,0.28,5266.0,1552.27,17.3,30.02,3.0,0.95,0.23,630.0,2.72,-0.34,-49.0,14.0,1137.5,-311.08,0.43,3.0,1255.09,-22.31,5.0,-6.43,0.22,-5.96,2.0,450.0,1351.0,17.5,-16.82,-0.14,8.0,9.0,-8.52,-0.52,0.21,0.04,4.3,0.08,0.0,2.58,9.0,0.1,1244.73,-0.7,35.0,0.19,1.0,1087.04,-102.0,-1.6,-1591.66,37.0,0.68,13.67,0.88,15.0,Very High
665.0,-0.19,-125.48,19.0,0.08,0.43,0.24,0.55,0.06,2901.0,0.02,-3498.0,-1906.0,2284.5,0.14,-0.7,1089.02,0.94,9.0,36.0,0.0,-35.0,188.48,1364.0,1.0,8.0,-1.41,-7455.0,0.28,0.81,-0.2,-1.51,0.75,0.0,0.14,0.39,9480.0,2949.57,13.76,33.26,3.0,0.91,0.47,1169.0,-0.12,-0.06,-36.0,45.0,3254.0,140.64,0.31,4.0,2245.33,11.5,3.0,3.93,-1.11,-0.94,1.0,1180.0,6358.0,14.5,8.58,-1.2,3.0,8.0,5.27,0.12,0.46,0.1,1.1,0.85,0.0,1.71,1.0,0.2,1459.44,-0.09,50.0,-0.15,1.0,1043.91,-51.0,-0.73,-93.63,77.0,0.56,16.37,-0.33,30.0,Very High
344.0,1.15,1212.48,9.5,0.03,0.21,0.23,0.1,0.18,2901.0,0.64,-3498.0,-1273.0,620.5,0.03,0.95,1206.13,0.0,5.0,36.0,0.0,-29.0,675.58,750.5,2.0,3.0,0.43,-7455.0,0.85,0.1,1.61,0.69,0.75,0.0,0.05,0.35,9480.0,2872.83,10.79,23.13,2.0,0.91,0.0,398.0,2.07,-0.29,-36.0,45.0,1568.0,486.81,0.1,4.0,1637.63,20.73,3.0,5.14,-0.83,1.31,1.0,561.0,6358.0,15.5,14.94,1.87,2.0,8.0,7.14,0.45,0.0,0.0,0.59,0.0,0.0,2.26,1.0,0.0,1673.81,0.85,39.0,1.87,2.0,616.5,-6.0,1.56,873.7,77.0,0.17,14.74,2.12,14.0,Very High
89.0,-0.22,670.03,4.5,0.02,0.15,0.19,0.04,2.66,1474.0,2.9,79.0,-283.0,78.0,0.01,-0.23,1273.91,0.0,2.0,8.0,0.0,-7.0,291.78,281.0,1.0,1.0,7.11,1289.0,7.61,1.98,3.11,7.87,0.82,0.0,0.02,0.25,4493.0,302.17,3.05,4.91,2.0,0.91,0.0,39.0,4.32,6.67,-4.0,19.0,673.5,207.2,0.06,5.0,600.39,0.92,2.0,0.53,11.88,-0.33,1.0,315.0,2969.0,2.0,0.65,9.02,2.0,10.0,0.74,0.15,0.0,0.0,0.62,0.0,0.0,51.76,1.0,0.0,1793.87,1.9,4.0,3.26,1.0,312.28,-6.0,3.02,475.82,31.0,0.07,4.06,3.55,2.0,High
34.0,-0.17,162.45,3.0,0.08,0.35,0.31,0.34,-0.15,208.0,0.15,1.0,-23.0,42.75,0.09,-0.2,1301.8,0.58,1.0,4.0,0.0,-5.0,72.51,71.75,6.0,1.0,-1.98,1685.0,1.24,0.95,0.32,-1.38,0.82,0.0,0.12,0.43,1863.0,38.37,1.84,1.97,3.0,0.91,0.55,23.5,-0.02,0.09,-4.0,2.0,210.75,53.46,0.3,3.0,126.48,-0.51,3.0,-0.38,1.11,-0.27,4.0,61.5,523.0,1.0,-0.38,-1.49,3.0,4.0,-0.51,-0.03,0.41,0.14,1.04,0.87,0.0,-0.19,1.0,0.39,1765.46,0.37,3.0,0.33,1.0,51.74,-6.0,-0.07,119.78,6.0,0.44,1.25,-0.52,1.0,High
27.0,-0.83,21.53,1.0,0.12,0.2,0.13,0.84,-0.07,122.0,0.04,-89.0,-84.0,36.0,0.2,-0.44,1356.69,0.43,1.0,2.0,0.76,-3.0,10.9,57.0,1.0,1.0,-1.1,1687.0,-0.34,-0.16,-0.58,-1.1,0.8,0.39,0.19,0.04,1847.0,28.97,1.1,1.23,4.0,0.91,0.03,18.0,-1.19,-0.18,-2.0,1.0,103.5,8.34,0.5,4.0,56.56,-0.78,3.0,-0.44,-0.45,-0.57,4.0,43.0,120.0,1.0,-0.59,0.65,4.0,7.0,-0.57,0.15,0.14,0.03,1.07,0.09,0.41,0.45,1.0,0.02,1772.01,0.47,2.0,1.52,1.0,39.59,-4.0,0.56,16.48,2.0,0.81,0.62,-0.43,1.0,High
30.0,3.71,189.8,2.0,0.11,0.09,0.04,0.93,2.16,931.0,1.53,-830.0,-336.0,52.5,0.22,1.24,1380.9,0.13,1.0,26.0,0.76,-13.0,98.49,102.0,1.0,1.0,-0.25,1086.0,4.03,1.49,-0.27,-0.17,0.55,0.37,0.19,0.02,3273.0,299.56,6.94,4.94,3.0,0.84,0.06,28.0,1.37,1.29,-3.0,16.0,124.0,75.41,0.47,1.0,536.32,2.37,3.0,0.87,1.88,1.63,1.0,51.0,1719.0,2.0,1.82,-0.44,3.0,15.0,1.14,1.7,0.04,0.01,1.07,0.03,0.71,5.13,1.0,0.02,1803.63,1.83,6.0,0.25,5.0,270.8,-3.0,0.16,145.32,19.0,0.79,4.15,2.31,1.0,High
580.0,1.32,367.06,18.0,0.11,0.4,0.19,0.47,-0.65,2566.0,-1.4,-5805.0,-3073.0,992.0,0.12,-1.21,1282.51,0.89,10.0,30.0,0.0,-75.0,-110.19,1059.0,5.0,7.0,3.7,-4005.0,0.88,-0.74,-0.08,-1.78,0.85,0.0,0.2,0.28,7560.0,1762.81,20.48,38.11,5.0,1.0,0.11,498.5,2.03,-0.37,-48.0,36.0,1535.75,-82.5,0.44,2.0,1578.05,-4.82,9.0,-1.28,1.61,-1.62,1.0,900.5,3609.0,13.75,-3.61,1.85,3.0,15.0,-1.71,-1.16,0.38,0.05,0.97,0.17,0.0,2.53,4.0,0.06,1712.95,-0.33,13.75,-0.69,2.0,1096.75,-112.0,-2.21,274.83,68.0,0.79,16.35,0.36,6.0,High
521.0,0.17,-1071.12,27.0,0.1,0.97,0.23,0.67,-0.25,2693.0,-0.81,-7701.0,-6327.0,1088.5,0.17,-6.34,1097.23,0.85,11.0,30.0,0.0,-75.0,-626.46,1030.0,9.0,8.0,-0.38,-4005.0,-0.01,-0.0,2.12,4.11,0.85,0.0,0.18,0.36,7560.0,1877.22,21.85,46.55,5.0,1.0,0.07,550.0,-0.1,-0.2,-52.0,36.0,3430.5,-462.76,0.4,2.0,2336.81,-18.0,13.0,-5.89,-0.28,-8.59,2.0,1400.0,3609.0,15.5,-13.3,-0.06,3.0,8.0,-7.98,-0.73,0.38,0.12,4.36,0.44,0.0,1.54,2.0,0.05,1485.37,-0.73,49.0,-0.28,1.0,1463.01,-134.0,-1.12,-791.23,68.0,0.7,19.09,3.03,21.0,Medium
305.0,1.05,-1884.27,14.5,0.11,0.83,0.16,1.26,-0.13,3778.0,-1.53,-7701.0,-6410.0,812.5,0.3,-1.58,1165.6,0.54,7.0,35.0,0.0,-68.0,-657.81,604.0,3.0,8.0,2.02,-2259.0,0.77,-0.43,1.63,3.58,0.75,0.0,0.16,0.24,7436.0,1598.71,19.24,35.38,7.0,0.95,0.08,399.0,2.47,0.58,-66.0,51.0,1756.0,-498.44,0.43,1.0,1574.97,-16.07,2.0,-1.12,1.61,-2.09,1.0,856.0,2626.0,16.0,-12.18,1.89,13.0,12.0,-1.48,-0.93,0.25,0.05,4.36,0.1,0.0,2.78,10.0,0.06,1538.28,-1.24,38.0,-1.32,1.0,1808.42,-134.0,-1.74,-1427.77,42.0,0.66,21.14,3.16,7.0,High
733.0,3.88,457.65,24.0,0.08,0.61,0.26,0.66,-1.57,6495.0,0.19,-4084.0,-6410.0,3165.5,0.17,1.54,909.81,1.26,13.0,129.0,0.0,-78.0,433.22,1548.5,3.0,13.0,-1.76,-9803.0,4.57,0.7,0.03,-1.78,0.72,0.0,0.12,0.38,7450.0,3275.56,27.65,43.11,3.0,1.0,0.52,1542.0,0.18,-0.76,-116.0,66.0,3818.5,323.26,0.31,7.0,2652.06,16.07,3.0,3.91,0.64,2.07,1.0,1876.0,9130.0,25.0,11.99,-1.73,3.0,13.0,5.24,0.06,0.58,0.18,1.46,0.74,0.0,1.39,1.0,0.14,1219.27,-0.78,45.5,-0.28,1.0,2014.22,-90.0,-0.32,341.49,147.0,0.45,29.93,3.24,20.0,High
499.0,7.56,1581.67,16.0,0.08,0.37,0.29,0.39,-2.09,6495.0,0.69,-2503.0,-1440.0,1350.0,0.1,-1.06,828.74,0.7,8.0,129.0,0.0,-78.0,758.44,1076.0,7.0,6.0,-1.89,-9803.0,8.75,0.93,0.13,-1.53,0.78,0.0,0.13,0.43,7450.0,2957.72,24.63,36.12,4.0,1.0,0.58,762.0,2.5,-1.15,-116.0,66.0,1819.0,560.25,0.32,3.0,1913.78,22.59,4.0,1.64,1.45,-1.43,1.0,923.0,9130.0,12.0,16.69,-1.73,4.0,13.0,2.22,0.67,0.44,0.09,1.04,0.86,0.0,2.93,1.0,0.29,1121.9,2.13,40.5,-0.02,13.0,1205.55,-90.0,-0.29,1168.37,147.0,0.49,25.75,5.99,16.0,Very High
160.0,0.33,438.99,9.0,0.12,0.41,0.16,0.98,-0.35,1252.0,-0.14,-1297.0,-654.0,415.5,0.23,-1.0,1268.45,0.62,5.0,23.0,0.0,-18.0,125.36,321.75,2.0,6.0,10.82,389.0,-1.05,-0.17,-0.28,-0.41,0.78,0.0,0.18,0.18,2755.0,453.67,7.79,15.02,4.0,0.89,0.2,212.5,-0.78,-0.38,-17.0,10.0,1276.75,95.33,0.48,2.0,862.66,-4.11,5.0,-1.59,0.34,-1.32,2.0,654.5,2261.0,12.75,-3.12,1.84,3.0,11.0,-2.09,0.43,0.34,0.07,1.61,0.14,0.0,0.54,2.0,0.08,1668.1,0.73,22.0,-0.86,1.0,382.21,-45.0,-3.15,333.81,39.0,0.74,6.86,0.26,11.0,Very High
632.0,3.41,226.11,25.0,0.1,0.31,0.09,1.2,0.58,6230.0,0.42,-8241.0,-5698.0,1455.5,0.28,-3.59,1121.43,0.55,12.0,102.0,0.64,-136.0,-143.73,1242.5,3.0,8.0,-1.19,-5906.0,0.52,0.56,-0.3,-1.22,0.62,0.22,0.17,0.07,10883.0,2796.91,33.37,63.33,5.0,0.85,0.09,708.0,3.19,0.08,-40.0,38.0,1820.5,-110.05,0.44,2.0,2485.72,-3.03,7.0,-2.59,1.7,-4.69,2.0,969.0,9355.0,17.0,-2.32,-0.03,5.0,14.0,-3.38,-0.48,0.28,0.06,1.61,0.12,0.65,1.59,8.0,0.04,1464.72,0.19,25.5,-0.34,2.0,1999.3,-185.0,0.31,173.11,175.0,0.73,14.84,2.04,13.0,Very High
1130.0,2.57,-875.94,31.0,0.1,0.32,0.1,1.26,0.02,6230.0,0.4,-8241.0,-5698.0,4182.0,0.3,-0.41,736.02,0.57,16.0,102.0,0.64,-136.0,-331.0,2490.0,2.0,16.0,-1.02,-5906.0,-0.54,1.07,-0.75,-1.04,0.58,0.22,0.17,0.07,10883.0,3202.44,35.13,67.83,5.0,0.85,0.14,2140.0,1.66,0.34,-53.0,44.0,3209.0,-253.42,0.43,3.0,2898.45,-7.79,9.0,-4.27,0.85,-0.54,2.0,1389.0,9355.0,34.0,-5.96,-0.74,5.0,15.0,-5.58,-0.65,0.12,0.03,1.61,0.13,0.65,0.18,10.0,0.07,961.33,0.34,58.0,-0.26,1.0,2188.39,-185.0,0.75,-670.64,175.0,0.72,22.2,0.86,30.0,Very High
1119.0,-0.09,-835.97,23.5,0.12,0.42,0.16,1.1,-0.02,6476.0,0.18,-5699.0,-5319.0,6087.5,0.27,1.74,833.97,0.83,12.0,65.0,0.65,-48.0,3.34,2202.0,2.0,18.0,-1.47,-8938.0,-0.66,1.09,-0.41,-1.46,0.88,0.2,0.18,0.09,10096.0,4548.2,24.15,50.35,3.0,0.9,0.17,2884.0,0.32,-0.26,-54.0,45.0,3416.5,2.53,0.5,3.0,3218.46,-2.53,11.0,-3.4,-0.14,2.29,1.0,1274.0,9002.0,36.0,-1.92,-0.11,3.0,7.0,-4.48,0.17,0.3,0.07,1.58,0.19,0.45,-0.35,14.0,0.09,1100.62,-0.01,56.5,0.57,1.0,2059.92,-106.0,0.4,-633.44,120.0,0.76,24.62,0.83,25.0,Very High
1458.0,-0.68,1279.24,53.0,0.08,0.57,0.31,0.45,0.0,6476.0,-0.46,-5699.0,-8488.0,9390.5,0.12,0.49,613.69,0.7,26.0,65.0,0.0,-80.0,-48.65,3258.5,4.0,14.0,-1.91,-8938.0,-0.54,0.13,1.35,1.57,0.88,0.0,0.11,0.41,10096.0,5392.78,32.52,56.0,3.0,0.9,0.54,4620.0,-0.62,-0.22,-54.0,45.0,4991.5,-35.58,0.28,2.0,3451.02,28.9,3.0,0.18,-0.78,0.67,7.0,2531.0,9002.0,32.0,21.14,-1.35,2.0,7.0,0.24,-0.15,0.23,0.24,2.29,0.84,0.0,-1.22,1.0,0.1,839.13,-0.66,87.5,0.47,8.0,2636.79,-98.0,0.09,935.57,120.0,0.4,22.84,0.46,38.0,Very High
1822.0,1.55,1242.33,25.0,0.01,0.41,0.1,0.08,-0.29,2914.0,-0.27,-2350.0,-8488.0,2794.0,0.02,4.74,434.14,0.0,13.0,56.0,0.0,-80.0,-1750.58,4125.0,4.0,11.0,24.58,-8399.0,-0.02,1.54,5.15,24.57,0.59,0.0,0.0,0.09,6972.0,3392.78,25.85,41.54,2.0,0.51,0.0,1451.0,2.55,-0.5,-44.0,41.0,1580.5,-1249.2,0.02,3.0,2143.76,38.99,2.0,3.97,-0.22,6.64,6.0,834.0,8606.0,24.0,27.83,25.55,2.0,10.0,5.56,-0.98,0.0,0.0,2.29,0.0,0.0,0.09,1.0,0.0,608.38,0.12,56.0,5.22,1.0,2493.55,-74.0,5.15,886.52,120.0,0.02,18.26,-0.69,28.0,Very High
1245.0,0.0,-617.82,20.5,0.0,0.0,0.0,0.0,0.06,6118.0,0.5,-5110.0,-5391.0,2083.0,0.0,5.83,821.93,0.0,10.0,40.0,0.0,-33.0,-1808.09,2427.0,4.0,12.0,-3.0,-3112.0,-0.89,-0.58,0.0,-3.0,0.0,0.0,0.0,0.0,6621.0,2011.38,15.44,27.83,0.0,0.0,0.0,1083.0,-0.52,0.51,-20.0,43.0,2541.5,-1290.24,0.0,3.0,1612.62,40.05,0.0,8.66,-0.12,8.18,3.0,1232.0,1731.0,24.5,28.58,-3.0,0.0,7.0,12.13,-0.2,0.0,0.0,0.0,0.0,0.0,0.41,1.0,0.0,1151.82,0.91,33.5,0.0,1.0,2207.74,-13.0,0.0,-440.87,117.0,0.0,15.72,0.72,16.0,Very High
847.0,0.13,-1693.21,17.0,0.0,0.0,0.0,0.0,0.51,6667.0,0.54,-5110.0,-3774.0,1528.5,0.0,3.8,997.47,0.0,6.0,40.0,0.0,-33.0,720.2,2793.0,2.0,9.0,-3.0,-3112.0,-0.68,-0.28,0.0,-3.0,0.0,0.0,0.0,0.0,6621.0,1978.11,14.92,28.53,0.0,0.0,0.0,893.0,0.43,0.21,-20.0,43.0,1353.0,516.44,0.0,2.0,1126.79,31.55,0.0,7.24,-0.92,5.3,1.0,696.0,807.0,20.5,22.62,-3.0,0.0,7.0,10.1,0.19,0.0,0.0,0.0,0.0,0.0,0.39,1.0,0.0,1391.03,0.06,50.5,0.0,1.0,2209.19,-4.0,0.0,-1214.16,94.0,0.0,15.05,0.28,24.0,Very High
589.0,4.66,-1017.93,3.0,0.0,0.0,0.0,0.0,2.12,6667.0,2.42,-4052.0,44.0,193.0,0.0,1.24,1083.89,0.0,2.0,32.0,0.0,-9.0,1223.36,1303.0,1.0,1.0,-3.0,-1692.0,3.64,-1.11,0.0,-3.0,0.0,0.0,0.0,0.0,3352.0,793.91,8.0,22.15,0.0,0.0,0.0,88.0,0.8,-2.21,-4.0,34.0,1245.0,847.43,0.0,1.0,887.17,9.3,0.0,2.36,4.84,1.8,1.0,555.0,-33.0,2.0,6.44,-3.0,0.0,11.0,3.41,2.28,0.0,0.0,0.0,0.0,0.0,6.99,1.0,0.0,1564.71,2.31,8.0,0.0,1.0,1317.81,-6.0,0.0,-705.13,92.0,0.0,8.51,5.95,4.0,Very High
64.0,10.68,-161.37,1.5,0.09,1.34,0.36,1.13,2.47,742.0,0.15,-574.0,-72.0,76.0,0.34,-0.11,1242.88,2.71,1.0,13.0,0.0,-4.0,227.34,214.0,2.0,1.0,-1.71,1440.0,7.83,-1.22,0.35,-1.84,0.78,0.0,0.05,0.2,1952.0,67.58,2.3,2.6,3.0,0.55,0.71,38.0,0.48,-1.4,-3.0,8.0,185.5,158.41,0.3,1.0,159.53,-0.69,3.0,-0.44,-0.31,-0.15,5.0,60.0,39.0,2.0,-0.48,-1.83,3.0,3.0,-0.63,2.56,0.0,0.0,3.01,0.38,0.0,6.11,1.0,0.0,1783.68,1.17,3.0,0.36,1.0,194.09,-7.0,0.4,-112.45,5.0,0.17,1.93,0.5,2.0,High
190.5,0.8,265.02,12.5,0.16,0.68,0.19,2.34,1.37,4018.0,1.31,-962.0,-2789.0,220.25,0.61,5.03,1273.36,0.51,4.0,35.0,0.0,-3.0,688.88,1392.25,1.0,1.0,4.05,-1607.0,1.68,2.12,-2.35,5.54,0.81,0.0,0.11,0.13,5020.0,1194.9,9.44,20.21,2.0,0.64,0.18,89.0,4.56,-0.19,-12.0,28.0,260.75,507.96,0.62,1.0,847.42,13.11,8.0,1.36,0.68,6.82,1.0,103.0,3760.0,7.5,9.67,4.72,4.0,10.0,1.85,1.29,0.23,0.05,3.01,0.1,0.0,1.93,4.0,0.07,1726.89,0.5,24.5,-2.17,1.0,1368.88,-7.0,-1.58,195.42,85.0,0.42,6.51,0.23,5.0,Very Low
1236.0,0.07,537.6,21.0,0.13,0.47,0.13,1.92,-0.64,4018.0,-0.83,-1998.0,-3503.0,1303.5,0.47,0.29,1119.7,0.84,10.0,35.0,0.37,-47.0,450.12,2662.5,1.0,9.0,-1.24,-1804.0,-0.46,0.63,0.51,-1.24,0.81,0.31,0.14,0.11,5817.0,1630.68,17.83,36.49,3.0,0.7,0.14,656.0,0.27,0.33,-37.0,28.0,1476.5,339.32,0.54,1.0,1280.87,3.88,3.0,-1.41,0.72,0.38,1.0,743.0,4172.0,18.0,2.93,-0.52,3.0,9.0,-1.86,-0.55,0.29,0.06,2.83,0.19,1.35,0.12,6.0,0.07,1485.32,-0.04,32.5,0.22,4.0,1759.8,-98.0,-0.52,405.27,85.0,0.57,15.55,-0.74,17.0,Very Low
442.0,1.79,0.05,10.0,0.1,0.27,0.1,1.3,-0.6,1841.0,-1.82,-1998.0,-3503.0,422.5,0.31,-4.92,1125.87,0.48,4.0,13.0,0.62,-47.0,-174.16,874.0,2.0,5.0,-1.33,-1804.0,-0.11,1.33,-0.22,-1.34,0.56,0.22,0.17,0.06,5817.0,1118.1,12.32,26.82,3.0,0.8,0.17,153.0,2.17,0.52,-37.0,24.0,1138.5,-132.65,0.41,1.0,1159.11,-8.29,4.0,-3.78,2.79,-6.46,2.0,513.0,4172.0,14.0,-6.32,-1.19,3.0,8.0,-4.96,-1.43,0.23,0.05,1.72,0.11,0.88,4.62,2.0,0.08,1478.18,-0.88,11.5,-0.21,1.0,1003.73,-98.0,0.21,0.04,32.0,0.71,13.69,0.95,6.0,Medium
265.0,0.24,-457.79,7.5,0.09,0.26,0.08,1.28,-1.28,566.0,-0.94,-1723.0,-1442.0,240.0,0.3,0.4,1142.02,0.51,4.0,19.0,0.63,-14.0,-229.33,570.5,5.0,2.0,-1.33,-197.0,2.2,-1.13,-0.01,-1.36,0.5,0.22,0.17,0.06,2231.0,369.02,6.06,13.88,4.0,0.8,0.15,110.0,1.01,-2.22,-25.0,9.0,482.0,-175.58,0.38,9.0,345.37,-6.29,7.0,-1.4,0.02,0.52,1.0,205.0,-1.0,6.5,-4.82,-1.18,4.0,1.0,-1.82,0.21,0.26,0.05,1.67,0.11,0.88,6.39,1.0,0.07,1491.62,-0.86,18.5,-0.37,2.0,492.77,-45.0,0.0,-350.49,17.0,0.72,6.2,-0.21,7.0,Medium
724.0,0.95,-333.55,17.75,0.11,0.4,0.08,1.19,-1.38,7863.0,0.05,-3570.0,-7307.0,1458.75,0.28,-4.27,970.89,0.74,9.0,20.0,0.63,-59.0,-763.19,1701.0,8.0,8.0,-0.76,-10186.0,2.91,0.19,-0.62,-0.79,0.59,0.29,0.17,0.09,8625.0,3423.49,14.72,25.78,4.0,0.95,0.1,766.5,1.66,-0.69,-62.0,24.0,826.5,-586.45,0.46,1.0,1133.73,-15.6,7.0,-3.37,0.18,-5.55,7.0,388.5,2992.0,15.5,-11.99,-0.79,4.0,7.0,-4.38,-1.02,0.29,0.06,1.67,0.17,0.23,1.36,8.0,0.06,1263.49,0.3,29.5,-0.04,8.0,2519.84,-86.0,0.63,-256.31,42.0,0.73,15.74,1.98,15.5,Medium
688.0,0.31,-78.37,20.0,0.12,0.37,0.12,0.66,-1.33,7863.0,-0.64,-3570.0,-7307.0,1926.0,0.16,-3.49,1080.14,0.21,10.0,27.0,0.66,-59.0,-606.55,1926.0,2.0,10.0,0.04,-10186.0,2.42,-0.27,0.48,0.06,0.75,0.33,0.2,0.08,8625.0,3445.48,16.43,28.36,3.0,1.0,0.16,961.0,1.16,-0.79,-62.0,27.0,893.0,-464.39,0.52,1.0,1183.78,-4.24,6.0,0.58,-0.04,-4.56,1.0,461.0,2992.0,19.0,-3.24,-0.93,3.0,8.0,0.76,-0.58,0.11,0.03,1.51,0.05,0.0,1.36,7.0,0.09,1410.79,0.12,42.5,0.44,7.0,2525.58,-86.0,-0.5,-60.01,42.0,0.85,17.68,1.85,21.0,Medium
73.0,1.55,28.54,7.5,0.11,0.24,0.13,0.6,1.31,842.0,0.86,-956.0,-1062.0,156.5,0.14,0.77,1288.79,0.25,3.0,27.0,0.8,-25.0,-108.41,151.0,1.0,3.0,0.42,-377.0,0.74,2.17,-1.05,0.46,0.75,0.27,0.2,0.05,4867.0,548.73,8.83,11.32,3.0,1.0,0.09,75.0,7.84,-0.22,-6.0,27.0,144.0,-83.01,0.46,2.0,400.27,3.2,6.0,3.18,1.55,1.0,3.0,68.0,1804.0,8.5,2.45,-0.19,3.0,8.0,4.15,0.68,0.13,0.03,0.88,0.05,0.0,11.68,5.0,0.04,1683.31,-0.15,7.0,0.97,1.0,298.65,-32.0,1.05,21.85,36.0,0.87,8.1,2.9,3.0,Medium
97.0,1.33,-27.67,10.5,0.09,0.71,0.08,0.79,2.18,4909.0,2.38,-827.0,-1133.0,186.0,0.18,4.69,1135.29,0.24,3.0,44.0,0.12,-8.0,427.53,577.5,3.0,3.0,14.4,-2074.0,5.45,1.89,3.79,14.33,0.53,0.22,0.19,0.16,2855.0,829.72,12.34,17.57,7.0,1.0,0.12,95.0,10.85,-2.26,-9.0,35.0,197.0,327.33,0.39,1.0,300.1,8.56,9.0,1.56,5.76,6.12,1.0,74.0,1840.0,5.0,6.55,-0.65,7.0,1.0,2.03,1.52,0.12,0.03,3.96,0.05,0.01,5.93,1.0,0.05,1482.83,1.73,12.0,-0.47,5.0,1127.3,-7.0,-3.81,-21.19,87.0,0.82,7.75,2.79,3.0,Medium
1123.0,0.49,468.97,18.5,0.09,1.02,0.17,0.97,-0.42,6736.0,0.81,-1834.0,-2573.0,1448.0,0.24,5.42,1035.94,0.87,9.0,58.0,0.0,-29.0,709.05,2152.5,1.0,6.0,-0.32,-3404.0,1.39,1.59,1.68,2.14,0.54,0.0,0.16,0.33,7621.0,1900.76,17.2,39.44,5.0,1.0,0.2,770.0,2.51,0.26,-43.0,35.0,1011.0,537.27,0.36,2.0,1306.01,11.35,8.0,-1.78,1.04,7.16,2.0,386.0,4866.0,12.0,8.6,0.29,9.0,11.0,-2.35,0.49,0.46,0.1,3.96,0.23,0.0,1.06,5.0,0.07,1367.16,0.76,33.0,-1.2,5.0,1810.5,-77.0,-1.12,355.35,129.0,0.66,13.88,0.96,17.0,Medium
