time,/ext_usb_camera/image/compressed,robogame/imu_state,robogame/imu_state.linear_acc.x,robogame/imu_state.linear_acc.y,robogame/imu_state.linear_acc.z,robogame/imu_state.gyro.z,robogame/imu_state.gyro.x,robogame/imu_state.gyro.y
0.0,,,1156.0,-976.0,1537.0,1.0,6.0,45.0
0.04510831832885742,,,670.0,-920.0,2122.0,0.0,5.0,31.0
0.0902099609375,,,-265.0,-180.0,2746.0,15.0,1.0,8.0
0.13524460792541504,,,-522.0,154.0,2506.0,-1.0,3.0,-10.0
0.18019628524780273,,,-38.0,1181.0,1749.0,-1.0,-6.0,-5.0
0.225264310836792,,,-312.0,2186.0,1064.0,3.0,-13.0,12.0
0.2702934741973877,,,-684.0,2386.0,917.0,18.0,-15.0,20.0
0.3153247833251953,,,-897.0,1414.0,799.0,3.0,-10.0,3.0
0.3604440689086914,,,-383.0,1781.0,736.0,6.0,-10.0,-2.0
0.4055750370025635,,,-560.0,2003.0,782.0,9.0,-11.0,29.0
0.45071935653686523,,,-708.0,1757.0,970.0,4.0,-11.0,37.0
0.4957880973815918,,,-936.0,1739.0,915.0,4.0,-13.0,54.0
0.5407552719116211,,,-908.0,1191.0,723.0,6.0,-13.0,63.0
0.5859053134918213,,,-1194.0,650.0,527.0,11.0,-11.0,57.0
0.630622148513794,,,-1931.0,156.0,778.0,4.0,-9.0,33.0
0.67582106590271,,,-1763.0,-135.0,1004.0,7.0,-10.0,-3.0
0.7208495140075684,,,-1006.0,-422.0,1494.0,-8.0,-1.0,-38.0
0.7658023834228516,,,540.0,12.0,1557.0,-9.0,6.0,-37.0
0.827380895614624,,,945.0,31.0,1781.0,-5.0,9.0,-3.0
0.8723504543304443,,,1226.0,-373.0,1764.0,-7.0,9.0,1.0
0.91741943359375,,,1038.0,-802.0,1707.0,-13.0,9.0,-13.0
0.962458610534668,,,1273.0,-746.0,1660.0,-15.0,3.0,-37.0
1.0075206756591797,,,1115.0,-501.0,1638.0,-11.0,8.0,-30.0
1.0527667999267578,,,1164.0,-386.0,2350.0,-12.0,5.0,-39.0
1.097776174545288,,,1476.0,-357.0,2390.0,-14.0,3.0,-39.0
